name,brand,source,us,uk,de,fr,es,it,be,tr
The One Dolce&Gabbana,Dolce Gabbana,popular,,,,,,,,
K by Dolce & Gabbana Dolce&Gabbana,Dolce Gabbana,popular,,,,,,,,
Devotion Dolce&Gabbana,Dolce Gabbana,popular,,,,,,,,
Acqua di Giò Profumo,Giorgio Armani,popular,,,,,,,,
Acqua di Giò Profondo,Giorgio Armani,popular,,,,,,,,
Armani Code,Giorgio Armani,popular+celebs,,,,,,,,
Si,Giorgio Armani,popular,,,,,,,,
My Way,Giorgio Armani,popular+celebs,,,,,,,,
Emporio Armani Stronger With You,Giorgio Armani,popular,,,,,,,,
Emporio Armani Stronger With You Intensely,Giorgio Armani,popular,,,,,,,,
Y Eau de Parfum,Yves Saint Laurent,popular,,,,,,,,
La Nuit de l'Homme,Yves Saint Laurent,popular+blog,,,,,,,,
Libre Intense,Yves Saint Laurent,popular+blog,,,,,,,,
Mon Paris,Yves Saint Laurent,popular,,,,,,,,
Opium Parfum,Yves Saint Laurent,popular,,,,,,,,
Black Opium Intense,Yves Saint Laurent,popular,,,,,,,,
Idôle Lancôme,Lancome,popular,,,,,,,,
Trésor Lancôme,Lancome,popular,,,,,,,,
La Nuit Trésor Lancôme,Lancome,popular,,,,,,,,
Sauvage Eau de Parfum,Dior,popular,,,,,,,,
Sauvage Elixir,Dior,popular+celebs,,,,,,,,
Dior Homme Intense 2007,Dior,popular,,,,,,,,
Fahrenheit,Dior,popular+celebs+blog,,,,,,,,
Hypnotic Poison,Dior,popular,,,,,,,,
Poison,Dior,popular,,,,,,,,
Allure Homme Sport,Chanel,popular,,,,,,,,
Chance Eau de Parfum,Chanel,popular,,,,,,,,
Chance Eau Tendre,Chanel,popular+blog,,,,,,,,
Gabrielle,Chanel,popular+celebs,,,,,,,,
Coco Eau de Parfum,Chanel,popular,,,,,,,,
Bleu de Chanel Parfum,Chanel,popular,,,,,,,,
Shalimar Parfum,Guerlain,popular,,,,,,,,
Mon Guerlain,Guerlain,popular+celebs+blog,,,,,,,,
L’Homme Ideal,Guerlain,popular,,,,,,,,
Habit Rouge Parfum,Guerlain,popular,,,,,,,,
Terre d'Hermès Hermès,Hermes,popular,,,,,,,,
H24 Hermès,Hermes,popular,,,,,,,,
Twilly d’Hermès Hermès,Hermes,popular,,,,,,,,
Un Jardin Sur Le Nil Hermès,Hermes,popular,,,,,,,,
Narciso Rodriguez For Her,Narciso Rodriguez,popular,,,,,,,,
Daisy,Marc Jacobs,popular+celebs,,,,,,,,
Perfect,Marc Jacobs,popular,,,,,,,,
Viva la Juicy,Juicy Couture,popular,,,,,,,,
Cloud,Ariana Grande,popular+celebs+blog,,,,,,,,
Fantasy,Britney Spears,popular,,,,,,,,
Missing Person,Phlur,popular,,,,,,,,
Vanilla 28,Kayali Fragrances,popular,,,,,,,,
Red Temptation For Her,Zara,popular,,,,,,,,
Vibrant Leather,Zara,popular,,,,,,,,
Ebony Wood,Zara,popular,,,,,,,,
Shaghaf Oud,Swiss Arabian,popular,,,,,,,,
Black Afgano,Nasomatto,popular+celebs+blog,,,,,,,,
